subchannel_index,bits_per_subchannel,power_loading_fxp
1,3,4.0
2,4,3.0
3,5,2.0
4,5,2.0
5,5,2.0
6,5,2.0
7,5,2.0
8,5,2.0
9,5,2.0
10,5,3.0
11,4,3.0
12,4,4.0
13,2,5.0
14,2,0.0
15,2,0.0
16,2,0.0
17,3,4.0
18,4,3.0
19,4,3.0
20,4,3.0
21,4,3.0
22,5,2.0
23,5,2.0
24,5,2.0
25,5,2.0
26,5,2.0
27,5,2.0
28,5,2.0
29,5,2.0
30,5,2.0
31,5,2.0
32,5,0.0
33,5,2.0
34,5,2.0
35,5,3.0
36,5,3.0
37,4,3.0
38,4,3.0
39,4,3.0
40,4,3.0
41,3,4.0
42,3,5.0
43,2,0.0
44,2,0.0
45,2,6.0
46,3,5.0
47,3,4.0
48,3,0.0
49,4,3.0
50,4,3.0
51,4,3.0
52,4,3.0
53,4,3.0
54,4,3.0
55,3,4.0
56,4,3.0
57,4,3.0
58,4,3.0
59,4,3.0
60,4,3.0
61,4,3.0
62,4,4.0
63,3,5.0
