subchannel_index,snr_dB
1,21.1785
2,20.5826
3,21.5437
4,20.1548
5,20.6629
6,19.9443
7,20.0684
8,19.0202
9,19.2033
10,17.6832
11,16.4191
12,15.0637
13,12.6388
14,4.9179
15,4.0807
16,-4.331
17,13.8439
18,17.3709
19,17.9645
20,18.8453
21,18.7585
22,18.1592
23,17.8315
24,17.9356
25,18.4757
26,17.9576
27,18.6338
28,17.9949
29,18.4262
30,17.7349
31,18.1165
32,5.5372
33,17.0145
34,16.7941
35,15.429
36,14.4825
37,15.4835
38,11.7544
39,12.7259
40,10.6036
41,11.9143
42,9.9703
43,7.8188
44,8.0192
45,11.0565
46,11.8031
47,13.3258
48,1.304
49,15.7868
50,13.6837
51,14.7803
52,12.8592
53,13.9113
54,14.6618
55,13.3773
56,13.6229
57,13.7553
58,14.7916
59,13.4438
60,14.3357
61,13.5356
62,13.8485
63,14.1093
