subchannel_index,bits_per_subchannel,power_loading_fxp
1,4,8.0
2,5,5.0
3,6,5.0
4,6,4.0
5,6,4.0
6,6,4.0
7,6,4.0
8,6,4.0
9,6,4.0
10,6,4.0
11,6,4.0
12,6,4.0
13,6,4.0
14,6,4.0
15,6,4.0
16,6,4.0
17,6,4.0
18,6,4.0
19,6,4.0
20,6,4.0
21,6,4.0
22,6,4.0
23,6,4.0
24,6,4.0
25,6,4.0
26,6,4.0
27,6,5.0
28,6,4.0
29,6,4.0
30,6,4.0
31,6,5.0
32,6,5.0
33,6,5.0
34,6,4.0
35,6,5.0
36,6,5.0
37,5,5.0
38,5,5.0
39,5,5.0
40,5,5.0
41,5,5.0
42,5,5.0
43,5,5.0
44,5,5.0
45,5,5.0
46,5,5.0
47,5,5.0
48,5,5.0
49,5,5.0
50,5,5.0
51,5,5.0
52,5,6.0
53,5,6.0
54,5,6.0
55,5,6.0
56,5,6.0
57,5,6.0
58,5,6.0
59,5,6.0
60,5,6.0
61,5,6.0
62,5,6.0
63,4,9.0
