subchannel_index,snr_dB
1,22.5555
2,21.5515
3,21.7402
4,19.0114
5,21.3608
6,20.3647
7,21.7482
8,19.5926
9,21.2027
10,21.9603
11,20.4208
12,20.508
13,22.0015
14,20.6651
15,21.3134
16,17.873
17,20.9139
18,19.9418
19,20.5289
20,19.4555
21,19.8028
22,19.256
23,19.3085
24,18.5367
25,18.0833
26,17.8663
27,17.8468
28,16.077
29,17.5149
30,16.1513
31,17.9799
32,13.5479
33,16.179
34,17.4291
35,17.3944
36,16.4494
37,17.3962
38,16.6267
39,17.2188
40,17.4817
41,16.7113
42,17.5577
43,17.8506
44,16.9665
45,17.0145
46,16.5939
47,17.1274
48,14.4787
49,16.6987
50,17.0927
51,15.8749
52,15.1969
53,15.5942
54,15.7629
55,16.8249
56,16.33
57,16.8331
58,17.0316
59,17.077
60,16.9653
61,17.0119
62,17.1732
63,17.7758
